The Barracudas,Summer Fun
The Beat,Tears Of A Clown
Kurtis Blow,Christmas Rappin'
The Boomtown Rats,Banana Republic
The Buggles,Living in the Plastic Age
Chas and Dave,Rabbit
Cockney Rejects,The Greatest Cockney Rip Off
The Cure,A Forest
Dexys Midnight Runners, Geno
Barbara Dickson,January February
Sheena Easton,Morning Train (9 to 5)
The Flying Lizards,TV
John Foxx,Underpass
Peter Gabriel,No Self Control
Genesis,Turn It On Again
Gibson Brothers,Cuba
Eddy Grant,Do You Feel My Love
Hot Chocolate,No Doubt About It
The Human League,Rock 'N' Roll
Iron Maiden,Running Free
The Jam,Going Underground
Joe Jackson,It's Different for Girls
Judas Priest,Living After Midnight
Kool and the Gang,Celebration
The Lambrettas,Poison Ivy
Jona Lewie,You'll Always Find Me in the Kitchen at Parties
Linx,You're Lying
Liquid Gold,Dance Yourself Dizzy
Johnny Logan,What's Another Year?
Madness,Baggy Trousers
Kelly Marie,Feels Like I'm in Love
Matchbox,When You Ask About Love
Motorhead,Ace of Spades
New Musik,Living by Numbers
The Nolans,I'm In the Mood for Dancing
Gary Numan,We Are Glass
Billy Ocean,Are You Ready
Odyssey,If You're Lookin' for a Way Out
Orchestral Manoeuvres in the Dark,Messages
Robert Palmer,Looking for Clues
The Piranhas,Tom Hark
The Pretenders,Brass in Pocket
Prima Donna,Love Enough For Two
Cliff Richard,Dreamin'
Roxy Music,Over You
Jimmy Ruffin,Hold On (To My Love)
Saxon,Wheels of Steel
Showaddywaddy,Blue Moon
Siouxsie and the Banshees,Happy House
Skids,Working for the Yankee Dollar
Slade,Merry Xmas Everybody
Spandau Ballet,To Cut A Long Story Short
The Specials,Do Nothing
Split Enz,I Got You
Squeeze,Another Nail in My Heart
St. Winifred's School Choir,There's No One Quite Like Grandma
Stiff Little Fingers,Nobody's Hero
The Stranglers,Thrown Away
UFO,Young Blood
UK Subs,Warhead
The Undertones,My Perfect Cousin
The Vapors,Turning Japanese
Dennis Waterman,I Could Be So Good For You
ABC,Tears Are Not Enough
Adam and the Ants,Antmusic
Altered Images,Happy Birthday
Laurie Anderson,O Superman
Aneka,Japanese Boy
Bad Manners,Lorraine
The Beat,Drowning
Beggar and Co,(Somebody) Help Me Out
Colin Blunstone and Dave Stewart,What Becomes of the Brokenhearted
Chas and Dave,Rabbit
Coast to Coast,(Do) The Hucklebuck
Phil Collins,In the Air Tonight
The Creatures,Mad Eyed Screamer
The Cure,Primary
Dexys Midnight Runners, Show Me
Dollar,Hand Held In Black And White
Duran Duran,Planet Earth
The Exploited,Dead Cities
Susan Fassbender,Twilight Cafe
John Foxx,Europe After the Rain
Freeez,Southern Freeez
Fun Boy Three,The Lunatics (Have Taken Over the Asylum)
The Fureys and Davey Arthur,When You Were Sweet Sixteen
Genesis,Abacab
Gidea Park,Beach Boy Gold
Girlschool, Hit and Run
Godley and Creme,Under Your Thumb
Honey Bane,Turn Me On
Sheila Hylton,The Bed's Too Big Without You
Imagination,Body Talk
The Jam,Absolute Beginners
Japan,Quiet Life
Level 42,Love Games
Linx,Intuition
Liquid Gold,Don't Panic
The Look,I Am the Beat
Kiki Dee,Star
Kirsty MacColl,There's a Guy Works Down the Chip Shop Swears He's Elvis
Matchbox,Somewhere Over the Rainbow
Modern Romance,Ay Ay Ay Ay Moosey
Motorhead,Motorhead
The Nolans,Who's Gonna Rock You
Gary Numan,She's Got Claws
Gary Numan and Dramatis,Love Needs No Disguise
Hazel O'Connor,Will You
Orchestral Manoeuvres In The Dark,Souvenir
The Passions,I'm in Love with a German Film Star
The Police,Spirits in the Material World
Racey,Runaround Sue
Cliff Richard,Daddy's Home
Sad Cafe,I'm In Love Again
Shakin' Stevens,Green Door
Sharon Redd,Can You Handle It
Siouxsie and the Banshees,Spellbound
Slade,We'll Bring The House Down
Snowmen,Hokey Cokey
Soft Cell,Tainted Love
The Specials,Ghost Town
Starsound,Stars On 45
Status Quo,Rock 'n' Roll
The Stranglers,Thrown Away
Dave Stewart and Barbara Gaskin,It's My Party
Stray Cats,Rock This Town
The Teardrop Explodes,Reward
Tenpole Tudor,Swords of a Thousand Men
Thin Lizzy,Are You Ready?
Toyah,It's a Mystery
U2,Fire
UB40,Don't Let It Pass You By
UFO,Lonely Heart
UK Subs,Keep On Running (Til You Burn)
Ultravox,Vienna
Kim Wilde, Kids In America
XTC,Sgt. Rock (Is Going to Help Me)
Lena Zavaroni,Roses And Rainbows
ABC,Poison Arrow
Adam Ant,Goody Two Shoes
Altered Images,See Those Eyes
The Associates,Party Fears Two
Bauhaus,Bela Lugosi's Dead
Bardo,One Step Further
The Belle Stars,The Clapping Song
Blancmange,Living on the Ceiling
The Boomtown Rats,House on Fire
Bow Wow Wow,Go Wild in the Country
